    34.87701       -121.0796    
    34.88805       -121.0571    
    34.89907       -121.0346    
    34.91011       -121.0121    
    34.92113       -120.9896    
    34.93216       -120.9671    
    34.94317       -120.9445    
    34.95419       -120.9220    
    34.96520       -120.8995    
    34.97620       -120.8770    
    34.98720       -120.8544    
    34.99820       -120.8318    
    35.00919       -120.8093    
    35.02018       -120.7867    
    35.03115       -120.7641    
    35.04213       -120.7415    
    35.05311       -120.7190    
    35.06408       -120.6964    
    35.07504       -120.6738    
    35.08599       -120.6512    
    35.09695       -120.6285    
    35.10790       -120.6059    
    35.11885       -120.5833    
    35.12979       -120.5606    
    35.14072       -120.5380    
    35.15166       -120.5154    
    35.16258       -120.4927    
    35.17350       -120.4700    
    35.18443       -120.4473    
    35.19534       -120.4247    
    35.20625       -120.4020    
    35.21715       -120.3793    
    35.22806       -120.3566    
    35.23895       -120.3339    
    35.24984       -120.3112    
    35.26072       -120.2885    
    35.27160       -120.2657    
    35.28248       -120.2430    
    35.29336       -120.2202    
    35.30422       -120.1975    
    35.31509       -120.1747    
    35.32594       -120.1520    
    35.33680       -120.1292    
    35.34765       -120.1064    
    35.35849       -120.0837    
    35.36934       -120.0609    
    35.38018       -120.0381    
    35.39100       -120.0153    
    35.40183       -119.9925    
    35.41265       -119.9697    
    35.42347       -119.9468    
    35.43428       -119.9240    
    35.44509       -119.9012    
    35.45589       -119.8783    
    35.46669       -119.8555    
    35.47749       -119.8326    
    35.48828       -119.8098    
    35.49907       -119.7869    
    35.50984       -119.7640    
    35.52062       -119.7411    
    35.53139       -119.7183    
    35.54216       -119.6953    
    35.55292       -119.6725    
    35.56368       -119.6495    
    35.57444       -119.6266    
    35.58518       -119.6037    
    35.59592       -119.5808    
    35.60667       -119.5578    
    35.61739       -119.5349    
    35.62812       -119.5119    
    35.63885       -119.4890    
    35.64957       -119.4660    
    35.66029       -119.4431    
    35.67100       -119.4201    
    35.68171       -119.3971    
    35.69240       -119.3741    

    34.89545       -121.0930    
    34.90649       -121.0706    
    34.91753       -121.0481    
    34.92857       -121.0256    
    34.93960       -121.0031    
    34.95062       -120.9805    
    34.96164       -120.9580    
    34.97266       -120.9355    
    34.98367       -120.9129    
    34.99468       -120.8904    
    35.00568       -120.8678    
    35.01667       -120.8453    
    35.02767       -120.8227    
    35.03866       -120.8001    
    35.04964       -120.7776    
    35.06063       -120.7550    
    35.07160       -120.7324    
    35.08257       -120.7098    
    35.09354       -120.6872    
    35.10450       -120.6646    
    35.11546       -120.6419    
    35.12641       -120.6193    
    35.13736       -120.5966    
    35.14831       -120.5740    
    35.15925       -120.5514    
    35.17018       -120.5287    
    35.18111       -120.5060    
    35.19204       -120.4834    
    35.20296       -120.4607    
    35.21387       -120.4380    
    35.22479       -120.4153    
    35.23570       -120.3926    
    35.24660       -120.3699    
    35.25750       -120.3472    
    35.26839       -120.3245    
    35.27928       -120.3018    
    35.29016       -120.2791    
    35.30104       -120.2563    
    35.31193       -120.2336    
    35.32280       -120.2108    
    35.33366       -120.1880    
    35.34452       -120.1653    
    35.35538       -120.1425    
    35.36623       -120.1198    
